Date,Close/Last,Volume,Open,High,Low
06/03/2025,$71.16,20139770,$71.71,$71.78,$70.475
06/02/2025,$72.00,10202740,$72.025,$72.04,$71.36
05/30/2025,$72.10,28019550,$71.605,$72.47,$71.605
05/29/2025,$71.49,10294100,$71.00,$71.66,$70.46
05/28/2025,$71.15,8710896,$71.70,$71.90,$71.05
05/27/2025,$71.78,10666100,$71.74,$72.22,$71.56
05/23/2025,$71.77,12822150,$71.54,$71.98,$70.685
05/22/2025,$71.14,11101800,$71.84,$71.985,$70.96
05/21/2025,$71.85,12094420,$71.69,$72.08,$71.585
05/20/2025,$71.69,12137800,$71.80,$72.13,$71.43
05/19/2025,$71.93,13282780,$72.03,$72.17,$71.64
05/16/2025,$72.00,18441200,$71.86,$72.26,$71.43
05/15/2025,$71.61,19817100,$69.70,$71.73,$69.60
05/14/2025,$69.16,16286800,$68.88,$69.34,$68.58
05/13/2025,$68.96,14389050,$69.59,$69.69,$68.87
05/12/2025,$69.53,21539010,$70.145,$70.33,$68.70
05/09/2025,$70.52,11228950,$70.99,$71.15,$70.46
05/08/2025,$71.17,14371060,$72.20,$72.47,$71.13
05/07/2025,$72.40,15025790,$71.72,$72.685,$71.67
05/06/2025,$71.72,12705480,$71.675,$71.90,$71.16
05/05/2025,$71.70,11932690,$71.67,$71.80,$71.01
05/02/2025,$71.65,12629590,$71.50,$71.815,$71.095
05/01/2025,$71.29,18034160,$72.00,$72.04,$71.23
04/30/2025,$72.55,21074650,$73.35,$73.48,$71.685
04/29/2025,$72.35,16244060,$71.19,$72.71,$70.28
04/28/2025,$71.79,15997500,$72.075,$72.26,$71.31
04/25/2025,$71.91,16315980,$72.65,$72.92,$71.125
04/24/2025,$72.52,16893860,$73.02,$73.425,$72.30
04/23/2025,$73.30,16353930,$73.29,$73.95,$72.38
04/22/2025,$73.90,15613520,$73.00,$74.38,$72.92
04/21/2025,$72.77,16037190,$73.38,$73.4723,$71.82
04/17/2025,$73.00,20754500,$71.90,$73.425,$71.72
04/16/2025,$71.68,15276220,$72.36,$72.665,$71.385
04/15/2025,$71.86,14965490,$72.62,$72.63,$71.725
04/14/2025,$72.45,13930210,$71.30,$72.66,$70.93
04/11/2025,$71.43,19988200,$70.905,$71.85,$70.54
04/10/2025,$70.76,22450160,$70.19,$71.205,$68.98
04/09/2025,$69.95,27918680,$67.92,$70.47,$67.28
04/08/2025,$68.42,22774430,$68.96,$69.9815,$67.76
04/07/2025,$68.37,34258360,$66.23,$69.38,$66.05
04/04/2025,$69.93,26517290,$72.42,$73.01,$69.79
04/03/2025,$73.18,24959590,$72.48,$73.95,$72.32
04/02/2025,$71.33,14606520,$71.96,$72.36,$71.05
04/01/2025,$71.87,15309150,$71.68,$71.91,$71.185
03/31/2025,$71.62,24016870,$70.73,$71.9375,$70.49
03/28/2025,$70.37,17412920,$70.81,$71.315,$69.53
03/27/2025,$70.74,11663370,$70.18,$70.985,$70.07
03/26/2025,$70.02,14482760,$68.92,$70.35,$68.90
03/25/2025,$68.81,12513900,$68.95,$69.08,$68.60
03/24/2025,$68.95,12575410,$68.80,$69.08,$68.33
03/21/2025,$68.67,47479470,$69.71,$69.97,$68.18
03/20/2025,$69.71,16295260,$69.305,$69.81,$69.09
03/19/2025,$69.28,14780010,$68.55,$69.38,$68.54
03/18/2025,$69.38,12657620,$70.11,$70.19,$69.30
03/17/2025,$70.12,15634810,$69.24,$70.17,$69.08
03/14/2025,$69.16,14205090,$68.51,$69.26,$68.3803
03/13/2025,$69.62,15746570,$70.25,$70.25,$69.281
03/12/2025,$69.94,18923300,$70.37,$70.73,$69.74
03/11/2025,$71.04,28076440,$71.875,$72.04,$70.61
03/10/2025,$71.45,25251190,$71.96,$73.22,$71.315
03/07/2025,$71.43,28393260,$69.65,$71.82,$69.65
03/06/2025,$70.46,21694030,$70.41,$70.529,$69.45
03/05/2025,$70.08,23933630,$69.90,$70.74,$69.84
03/04/2025,$70.19,25411860,$72.07,$72.65,$69.88
03/03/2025,$72.32,21717600,$70.24,$72.36,$69.73
02/28/2025,$71.21,22167380,$71.45,$71.57,$70.56
02/27/2025,$70.87,16789480,$70.72,$71.535,$70.42
02/26/2025,$70.80,14531180,$71.27,$71.275,$70.525
02/25/2025,$71.49,21555590,$70.86,$71.7699,$70.73
02/24/2025,$70.59,21418440,$70.84,$71.73,$70.33
02/21/2025,$71.35,21662250,$70.32,$71.60,$70.13
02/20/2025,$70.04,13398010,$69.71,$70.07,$69.42
02/19/2025,$70.07,16032270,$69.21,$70.13,$69.17
02/18/2025,$69.05,15569120,$68.55,$69.37,$68.42
02/14/2025,$68.87,20779090,$69.365,$70.03,$68.76
02/13/2025,$69.50,24393150,$69.00,$69.61,$68.762
02/12/2025,$68.71,26033760,$66.87,$68.82,$66.87
02/11/2025,$67.60,30589150,$67.50,$67.67,$66.41
02/10/2025,$64.55,16154300,$64.10,$64.65,$63.66
02/07/2025,$63.84,13184670,$63.43,$63.92,$63.27
02/06/2025,$63.36,13423410,$63.62,$63.74,$62.91
02/05/2025,$63.12,10686750,$62.72,$63.29,$62.585
02/04/2025,$62.67,15678000,$63.61,$63.63,$62.35
02/03/2025,$63.35,12067880,$63.18,$63.6299,$62.43
01/31/2025,$63.48,12102060,$63.70,$63.93,$63.39
01/30/2025,$64.05,13200980,$63.85,$64.285,$63.23
01/29/2025,$62.83,11325640,$62.56,$63.36,$62.55
01/28/2025,$62.36,14956030,$63.51,$64.04,$62.28
01/27/2025,$63.87,20742920,$62.87,$64.18,$62.473
01/24/2025,$61.92,19244600,$61.72,$62.01,$61.435
01/23/2025,$61.53,16528420,$61.80,$61.98,$61.37
